tag,name,A_MHz,B_MHz,C_MHz,doc_url
020503,H 2 DO +,328660.0,210120.0,140750.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e020503.cat
020504,15 NHD 2,222052.3,159838.8,112424.3,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e020504.cat
021501,NeH +,,519788.6,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e021501.cat
021502,H 2 F +,1.0,386552.0,271994.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e021502.cat
022501,NeD +,,274904.1,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e022501.cat
023501,22 NeH +,,517556.6,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e023501.cat
024501,NaH,,144952.42,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e024501.cat
024502,LiOH,,35342.85,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e024502.cat
025501,"CCH, v = 0",,43674.52,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e025501.cat
025502,MgH,,171976.2,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e025502.cat
025503,"CCH, v 2 = 1",,43508.68,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e025503.cat
025504,C 2 H –,,41639.24,2.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e025504.cat
025505,"CCH, v 2 = 2",,43547.5,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e025505.cat
025506,"CCH, v 3 = 1",,43125.64,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e025506.cat
025507,"CCH, ν 2 FIR band",,43674.52,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e025507.cat
025508,"CCH, ν 3 IR band",,43674.52,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e025508.cat
025509,"CCH, ν 2 + ν 3 IR band",,43674.52,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e025509.cat
025510,"CCH, 5ν 2 IR band",,43674.52,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e025510.cat
026501,CCD,,36068.02,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e026501.cat
026502,13 CCH,,42077.46,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e026502.cat
026503,C 13 CH,,42631.38,13.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e026503.cat
026504,"CN, v = 0, 1",61.0,56693.47,14.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e026504.cat
026505,"C 2 H 2 , ν 5 – ν 4",,35313.6,2.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e026505.cat
026506,CN –,,56132.76,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e026506.cat
026507,10 BO,,56291.2,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e026507.cat
026508,"CN + , v = 0",,56556.899,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e026508.cat
026509,"CN + , v = 1 – 0",,56556.899,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e026509.cat
027501,"HCN, v = 0",,44315.976,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027501.cat
027502,"HNC, v = 0",,45331.98,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027502.cat
027503,"HCN, v 2 = 1",,44422.427,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027503.cat
027504,"HNC, v 2 = 1",,45484.46,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027504.cat
027505,13 CN,61.0,54353.13,14.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027505.cat
027506,C 15 N,61.0,54958.51,15.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027506.cat
027507,"HCN, v 2 = 2",,44544.014,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027507.cat
027508,"HCN, v 2 = 3",,44662.72,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027508.cat
027509,"HCN, v 3 = 1",,44013.81,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027509.cat
027510,"HCN, v 1 = 1",,44003.49,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027510.cat
027511,HCCD,,29725.25,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027511.cat
027512,H 10 BO,,40575.4,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027512.cat
027513,BO,,53165.5,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027513.cat
027514,C 2 H 3 +,1.0,34237.5,2.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027514.cat
027515,Al,,,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e027515.cat
028501,"H 13 CN, v = 0",,43170.127,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028501.cat
028502,H 2 CN,284343.0,2.0,34245.5,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028502.cat
