tag,name,A_MHz,B_MHz,C_MHz,doc_url
39003.0,c-C3HD,34517.5,26965.8,15098.5,
39004.0,DCl-37,,161183.122,,
39005.0,NaO,,12662.7531,,
39006.0,K-atom,,,,
40001.0,CH3CCH,158590.0,8545.86,8545.86,
40002.0,NaOH,,12567.059,,
40003.0,SiC,,20297.582,,
40004.0,SiC,,20297.582,,
40005.0,KH,,101152.1,,
40006.0,C2O,,11545.597,,
40007.0,"MgO, v = 0, 1",,17149.38,,
41001.0,CH3CN,158099.0,9198.9,9198.9,
41002.0,CH3CC-13-H,158590.0,8290.3,8290.3,
41003.0,CH3C-13-CH,158590.0,8542.3,8542.3,
41004.0,C-13-H3CCH,158590.0,8313.24,8313.24,
41005.0,CH3CCD,158590.0,7788.17,7788.17,
41006.0,CH2DCCH,117744.37,8155.784,8025.577,
41007.0,Si$^{13}$C,,19203.84,,
41008.0,CaH,,126772.9,,
41009.0,CH3NC,157151.0,10052.9,10052.9,
41010.0,CH3CN,158099.0,9198.9,9198.9,
41011.0,K41-atom,,,,
42001.0,CH3CN-15,158099.0,8922.0,8922.0,
42002.0,CH2CO,282473.0,10293.8,9916.38,
42003.0,NH2CN,312141.88,10129.758,9865.924,
42004.0,CaD,,625623.19,,
42005.0,K-41-H,,101141.3,,
42006.0,C-13-H3CN,158099.0,8933.3,8933.3,
42007.0,CH3C-13-N,158093.3,9194.35,9194.35,
42008.0,CH2DCN,121074.5,8759.2,8608.5,
42009.0,H2CSi,304797.0,16586.997,15633.072,
42010.0,SiN,,21827.8,,
43001.0,CHDCO,194313.0,9647.396,9174.975,
43002.0,HNCO,912711.435,11071.0098,10910.5763,
43003.0,AlO,,19141.572,,
43004.0,CP,,23859.9,,
43005.0,13CH313CN,158099.0,8927.28,8927.28,
44001.0,CS,,24495.562,,
44002.0,SiO,,21711.967,,
44003.0,CH3CHO,56507.198,10454.077,9089.087,
44004.0,N2O,,12561.6343439,,
44006.0,DNCO,510971.766,10313.7156,10079.6763,
44007.0,HN-15-CO,903185.4,10737.8252,10585.4602,
44008.0,HNC-13-O,910499.8,11071.4817,10910.7321,
44010.0,HCP,,19976.0,,
44011.0,AlOH,,15740.3,,
,,29207.4669,8445.96861,7459.00313,
45001.0,C-13-S,,23123.856,,
45002.0,Si-29-O,,21514.07,,
45003.0,NH2CHO,72716.954,11373.453,9833.903,
45005.0,HCS+,10691.406,,,
45006.0,HNCO-18,912631.43,10470.901,10327.2476,
45007.0,NN-15-O,,12560.732,,
45008.0,N-15-NO,,12137.311,,
45009.0,DCP,,16984.4,,
45010.0,HOCO+,789950.574,10773.736,10609.432,
45011.0,AlOD,,14187.9,,
45012.0,O-17-CO,,11350.548,,
45013.0,PN,,23578.2,,
46001.0,CS-34,,24103.541,,
46002.0,Si-30-O,,24103.541,,
46003.0,H2CS,291291.641,17699.628,16651.83,
46004.0,C2H5OH,34891.7707,9350.6776,8135.2352,
46005.0,HCOOH,77512.25,12055.11,10416.12,
46006.0,NO2,239904.0,13002.0,12305.0,
46007.0,N2O-18,,11859.111,,
46008.0,CH3OCH3,38788.2,10056.5,8886.8,
46009.0,AlF,,16488.35,,
46010.0,NS,,23155.43,,
46011.0,DOCO+,437487.793,10163.999,9908.687,
46012.0,HOC-13-O+,789184.928,10772.897,10608.499,
46013.0,O-18-CO,,11037.894,,
46014.0,CH2OO,77748.9467,12465.03461,10721.50174,
47001.0,H2C-13-S,291660.0,16998.342,16030.791,
47002.0,HC-13-OOH,77580.871,12053.568,10378.999,
47003.0,DCOOH,57709.33,12055.971,9955.609,
47004.0,HCOOD,66100.14,11762.577,9969.943,
47005.0,PO+,,23593.5,,
47006.0,P0,,21899.5,,
47007.0,HONO,92892.038,12524.97,11016.67,
47008.0,cis-DCOOH,62653.45,11690.168,9837.916,
47009.0,cis-HCOOD,83962.82,10883.945,9624.947,
47010.0,cis HC-13-OOH,84201.759,11687.517,10249.654,
48001.0,SO,,21523.02,,
48002.0,SO-v1,,21351.0,,
48003.0,H2CS-34,291660.0,17387.949,16376.922,
48004.0,O3,106536.224,13349.254,11834.361,
48005.0,O3-v2,108137.91,13311.44,11765.03,
48006.0,"O3-v1,3",104943.93,13229.74,11726.61,
48007.0,O3-2v2,109796.18,13273.15,11694.07,
48008.0,"O3-v1,3+v2",106495.52,13187.79,11651.21,
48009.0,NS,,23155.43,,
48010.0,SO+,,23249.1,,
48011.0,CH3OOH,42828.738,10500.288,9055.05,
48012.0,HFCO,91156.541,11760.15624,10396.76463,
49001.0,O3-sym-O-17,102351.0,13350.8,11781.7,
49002.0,O3-asym-O-17,105491.1,12951.3,11508.0,
49003.0,C4H,,4758.6,,
49004.0,MgCCH,,5010.38,,
49005.0,HO3,70778.1652,9986.9501,8750.158,
50001.0,S-34-O,,21102.72,,
50002.0,SO-18,,19929.0,,
50003.0,O3-sym-O-18,98646.687,13352.732,11731.767,
50004.0,O3-asym-O-18,104573.161,12591.48,11212.5057,
50005.0,O3-s-O18-v2,100177.0,13316.0,11659.0,
50006.0,O3-a-O18-v2,106071.8,12556.0,11150.6,
50007.0,CH3Cl-35,156051.0,13292.9,13292.9,
50008.0,C3N,,4947.6,,
50009.0,MgCN,,5094.8,,
50010.0,MgNC,,5966.9,,
51001.0,HCCCN,,4549.058,,
51002.0,ClO,,18601.791,,
51003.0,ClO-v1,,18423.566,,
51004.0,HCCNC,,4967.838,,
51005.0,HCCNC-v7,,4983.493,,
51006.0,HCCNC-v6,,4978.5,,
51007.0,HCCNC-v5,,4970.517,,
51008.0,HNCCC,,4668.338,,
52001.0,HCCC-13-N,,4530.2,,
52002.0,HCC-13-CN,,4529.76,,
52003.0,HC-13-CCN,,4408.44,,
52004.0,HCCCN-15,,4416.75,,
52005.0,DCCCN,,4221.58,,
52006.0,HOCl,613483.7108,15116.78904,14725.77871,
52007.0,SiCC,52473.3,13158.6,10441.6,
52008.0,CCCO,,4810.8809,,
52009.0,CH3Cl-37,156051.0,13088.171,13088.171,
52010.0,CH2F2,49142.867,10604.822,9249.756,
52011.0,CH2F2-v4,49480.535,10582.942,9216.495,
52012.0,DNCCC,,4400.593,,
52013.0,CNCN,,5174.1377,,
53001.0,C2H3CN,49850.697,4971.1636,4513.8773,
53002.0,Cl-37-O,,18217.159,,
53003.0,C-13-CCO,,4632.8406,,
53004.0,CC-13-CO,,4784.2457,,
53005.0,CCC-13-O,,4797.9956,,
53006.0,Cl-37-O-v1,,18113.451,,
53007.0,C2H3NC,51479.46,5386.65,4868.94,
53008.0,HNCCN+,,4438.01,,
54001.0,CH2CHC-13-N,49799.589,4948.365,4494.655,
54002.0,CH2C-13-HCN,48639.643,4948.98,4485.383,
54003.0,C-13-H2CHCN,49195.205,4837.58,4398.242,
54004.0,CH2CDCN,40196.55,4934.352,4388.387,
54005.0,HO$^{37}$Cl,613461.3422,14850.43945,14472.89756,
54006.0,CCCO-18,,4572.2943,,
54007.0,HCCCHO,68035.3,4826.3,4499.5,
55001.0,C2H5CN,27663.7,4714.2,4235.1,
55002.0,CaCH3,163336.22,7566.30814,7566.30814,
56001.0,CH3CH2C-13-N,27634.94,4689.805,4214.746,
56002.0,CH3C-13-H2CN,27045.4,4697.868,4207.046,
56003.0,C-13-H3CH2CN,27342.174,4597.939,4133.707,
56004.0,C2H5CN-15,27541.953,4574.771,4119.43,
56005.0,CH2DCH2CN-s,27650.795,4425.061,4000.763,
56006.0,CH2DCH2CN-a,25022.568,4583.422,4110.245,
56007.0,CCS,,6477.75036,,
56008.0,C2H3CHO,47353.7,4659.5,4242.7,
56009.0,MgS,,8006.927,,
56009.0,MgS,,8006.927,,
56010.0,HCCCH2OH,32544.9,4701.9,4232.1,
57001.0,C-13CS,,6188.08655,,
57002.0,CC-13S,,6446.96588,,
57003.0,HCCCH2OD,29643.4,4612.8,4130.6,
58001.0,CCS-34,,6335.88385,,
58002.0,NaCl,,6513.05,,
,,10165.216,8515.165,4910.199,
60001.0,OCS,,6081.4921,,
60002.0,SiS,,9077.45,,
60003.0,CH3OCHO,17629.81,9243.3,5318.39,
60005.0,NaCl-37,,6373.748,,
60006.0,HCOCH2OH,18446.2607,6525.9964,4969.2358,
61001.0,OC-13-S,,6061.924,,
61002.0,Si-29-S,,8910.66,,
61003.0,C5H,,2395.1,,
61004.0,NH2CH2CH2OH,14508.72725,5546.49379,4570.48697,
62001.0,OCS-34,,5932.8338,,
62002.0,O-18-CS,,5704.8574,,
62003.0,Si-30-S,,8755.33,,
62004.0,SiS-34,,8828.86,,
62005.0,AlCl,,7288.724,,
62006.0,C5D,,2262.1,,
63001.0,HNO$_3$,13010.9873,12099.9231,6260.6373,
63002.0,HNO$_3$ $\nu_7$,13028.912,12098.642,6201.608,
63003.0,HNO$_3$ $\nu_9$,12961.903,12052.203,6255.23,
63004.0,HNO$_3$ $\nu_6$,13006.201,12057.503,6282.339,
63005.0,HNO$_3$ $\nu_8$,12998.022,12005.528,6260.813,
63006.0,HNO$_3$ 2$\nu_9$/$\nu_5$,12962.656,12025.872,6242.237,
63007.0,PS,,8895.8,,
63008.0,PO2,104506.98,8598.19,7921.508,
63009.0,HO$_2$NO,21406.39252,7948.05526,5791.00077,
64001.0,S2,,8831.2,,
64002.0,SO2,60778.55,10318.074,8799.703,
64003.0,AlCl-37,,7117.51219,,
64004.0,C4O,,2351.262,,
64005.0,SO2-v2,61954.816,10320.397,8783.856,
64006.0,H35ClCO,77971.4489,6140.8064,5685.2364,
64007.0,H15NO3,13012.2629,12096.924,6260.1372,
64008.0,DNO3,12970.64807,11312.64757,6034.94022,
65001.0,S-33-O2,59856.482,10318.296,8780.138,
65002.0,H18ONO2,12970.7833,11274.0159,6023.1679,
65003.0,HON18OO,12318.5282,11847.4252,6030.7977,
65004.0,HONO18O,12715.0274,11493.3306,6028.2919,
66001.0,COF2,11813.553,11753.047,5880.897,
66002.0,S-34-O2,58991.183,10318.51,8761.303,
66003.0,CaNC,,4048.74,,
66004.0,SOO-18,59101.185,9724.645,8331.562,
66005.0,H37ClCO,77858.5454,6001.2168,5564.805,
67001.0,OCl-35-O,52081.249,9952.605,8334.219,
68001.0,CCCS,,2890.3801,,
69001.0,OCl-37-O,50736.864,9953.123,8299.136,
69002.0,C3H7CN,23667.8,2268.1,2153.0,
70001.0,CCCS-34,,2820.36892,,
71001.0,MnO,,15025.815,,
71002.0,NF3,,10681.092,10681.092,
72001.0,CaS,,5284.1897,,
73001.0,C6H,,1391.18,,
74001.0,KCl,,3844.544,,
74002.0,C2H5OOCH,17746.7,2904.7,2579.1,
74003.0,C3H6O2,9894.643,4005.9,2862.968,
75001.0,HCCCCCN,,1331.33,,
75002.0,H2NCH2COOH I,10341.53,3876.1798,2912.3525,
75003.0,H2NCH2COOH II,10130.152,4071.5075,3007.4892,
75004.0,H2NCO2CH3,9963.9,5161.94,3184.78,
76001.0,HCCCCC-13-N,,1318.18,,
76002.0,HCCCC-13-CN,,1330.11,,
76003.0,HCCC-13-CCN,,1329.95,,
76004.0,HCC-13-CCCN,,1317.689,,
76005.0,HC-13-CCCCN,,1296.88,,
76006.0,HCCCCCN-15,,1298.639,,
76007.0,DCCCCCN,,1271.056,,
76008.0,KCl-37,,3735.251,,
76009.0,C4Si,,1533.772,,
76010.0,C5O,,1366.8471,,
76011.0,C3H8O2 I,7701.2351,3891.2952,2854.5575,
76012.0,C3H8O2 II,7701.2351,3891.2952,2854.5575,
77001.0,C3H8O2 I 13C3,7670.9366,3839.3622,2823.4732,
77002.0,C3H8O2 I 13C4,7756.814,3887.882,2836.455,
77003.0,C3H8O2 I 13C5,7664.143,3844.5,2827.169,
78001.0,AsH3,112470.59253,112470.59253,104884.09003,
79001.0,HOONO2,11994.5,4665.2,3997.2,
80001.0,HBr-79,,250357.6,,
80002.0,ZnO,,13593.7638900582,,
81001.0,Cl-35-NO2,13290.137,5175.4968,3719.5377,
82001.0,HBr-81,,250250.2,,
84001.0,CH2Cl2,32002.29,3320.28126,3065.22985,
88001.0,C6O,,849.7571,,
89001.0,Sr-88-H,,108927.85,,
90001.0,Sr-88-D,,55349.11,,
90002.0,CH2OHCOCH2OH,9801.294,2051.5256,1735.1648,
92001.0,C5S,,922.7,,
94001.0,C5S-34,,899.7,,
94002.0,CH$_3$Br-79,145744.45,9568.1929505,,
95001.0,Br-79-O,,12779.365,,
95002.0,Br-79-O v=1,,12669.758,,
96001.0,HOBr-79,613679.92,10576.608,10383.061,
96002.0,S3,23972.581,2948.547,2622.291,
96003.0,CH$_3$Br-81,145779.66,9531.8303719,,
97001.0,Br-81-O,,12726.305,,
97002.0,Cl-35-ONO2,12105.78,2777.001,2258.151,
97003.0,Br-81-O v=1,,12617.383,,
98001.0,H2SO4,5160.581,5024.549,4881.023,
98002.0,HOBr-81,613676.13,10530.431,10338.555,
99001.0,Cl-37-ONO2,12105.33,2700.974,2207.604,
99002.0,HC$_7$N,,564.0007,,
100001.0,C7O,,572.941,,
102001.0,ClOOCl,13109.45,2409.79,2139.68,
102002.0,ClClOO,9450.92947,3588.05774,2787.93767,
104001.0,Cl-37-OOCl,13013.07,2349.01,2089.29,
111001.0,OBr-79-O,28024.518,8233.173,6345.433,
112001.0,Se-80-O2,28826.532,8676.6837,6651.8979,
112002.0,C8O,,400.6418,,
113001.0,OBr-81-O,27824.891,8233.255,6335.137,
123001.0,HC$_9$N,,290.5183,,
124001.0,C9O,,293.7361,,
128001.0,S4,4655.334,2221.539,1502.379,
143001.0,IO,,10108.36,,
147001.0,HC$_{11}$N,,169.0629,,
